Count,Drop_number,Charge_letter,tu_[s],td_[s],tu[s],td[s]
1,1,A,2.59,1.56,2.59+/-0.005,1.56+/-0.005
2,1,A,5.09,2.56,5.09+/-0.005,2.56+/-0.005
3,1,A,5.13,2.38,5.13+/-0.005,2.38+/-0.005
4,1,A,4.94,2.54,4.94+/-0.005,2.54+/-0.005
5,1,A,5.47,2.75,5.47+/-0.005,2.75+/-0.005
6,1,A,4.91,2.47,4.91+/-0.005,2.47+/-0.005
7,1,A,5,2.47,5+/-0.005,2.47+/-0.005
8,1,A,5.84,2.5,5.84+/-0.005,2.5+/-0.005
9,1,A,5,2.56,5+/-0.005,2.56+/-0.005
10,1,A,5.35,2.66,5.35+/-0.005,2.66+/-0.005
11,1,A,5.22,2.56,5.22+/-0.005,2.56+/-0.005
12,1,A,5.41,2.43,5.41+/-0.005,2.43+/-0.005
13,1,A,5.35,2.5,5.35+/-0.005,2.5+/-0.005
14,1,A,5.18,2.28,5.18+/-0.005,2.28+/-0.005
15,1,A,5,2.6,5+/-0.005,2.6+/-0.005
16,2,B,4.94,3.06,4.94+/-0.005,3.06+/-0.005
17,2,B,4.74,2.72,4.74+/-0.005,2.72+/-0.005
18,2,B,4.59,3,4.59+/-0.005,3+/-0.005
19,2,B,4.62,2.94,4.62+/-0.005,2.94+/-0.005
20,2,B,4.63,3.06,4.63+/-0.005,3.06+/-0.005
21,2,B,4.37,3.03,4.37+/-0.005,3.03+/-0.005
22,2,B,4.38,2.81,4.38+/-0.005,2.81+/-0.005
23,2,B,4.57,2.97,4.57+/-0.005,2.97+/-0.005
24,2,B,4.65,2.91,4.65+/-0.005,2.91+/-0.005
25,2,B,4.81,3.19,4.81+/-0.005,3.19+/-0.005
26,2,B,4.75,2.91,4.75+/-0.005,2.91+/-0.005
27,2,B,4.31,3,4.31+/-0.005,3+/-0.005
28,2,B,4.47,3.25,4.47+/-0.005,3.25+/-0.005
29,2,B,4.63,2.94,4.63+/-0.005,2.94+/-0.005
30,2,B,4.36,3,4.36+/-0.005,3+/-0.005
31,2,C,12.94,5.38,12.94+/-0.005,5.38+/-0.005
32,2,C,14.4,5.34,14.4+/-0.005,5.34+/-0.005
33,2,C,14.03,5.19,14.03+/-0.005,5.19+/-0.005
34,2,C,12.19,5.28,12.19+/-0.005,5.28+/-0.005
35,2,C,13.29,4.97,13.29+/-0.005,4.97+/-0.005
36,2,C,14.03,5.13,14.03+/-0.005,5.13+/-0.005
37,2,C,12.38,5.06,12.38+/-0.005,5.06+/-0.005
38,2,C,14.19,5.06,14.19+/-0.005,5.06+/-0.005
39,2,C,13.78,5.13,13.78+/-0.005,5.13+/-0.005
40,2,C,13.6,4.91,13.6+/-0.005,4.91+/-0.005
