relative_time [ms],Bfield [microteslas]
0,326
36,327
103,327
169,328
236,328
303,328
369,328
436,328
503,329
569,330
636,332
703,334
769,336
836,339
903,342
969,345
1036,350
1103,357
1169,364
1236,368
1303,369
1369,375
1436,381
1503,386
1569,391
1636,394
1702,395
1769,395
1836,394
1902,392
1969,392
2035,393
2102,395
2169,398
2236,401
2303,403
2369,406
2436,409
2502,412
2569,418
2636,423
2703,432
2769,444
2836,457
2903,475
2969,496
3036,517
3103,545
3169,576
3236,606
3303,643
3369,685
3436,723
3503,770
3569,812
3636,865
3703,927
3769,985
3836,1061
3903,1143
3969,1218
4036,1311
4103,1408
4169,1494
4236,1601
4303,1724
4369,1843
4436,1991
4502,2142
4569,2265
4636,2334
4703,2347
4769,2357
4836,2365
4902,2374
4969,2377
5036,2384
5103,2396
5169,2411
5236,2406
5303,2396
5369,2476
5436,2527
5502,2499
5569,2483
5636,2476
5703,2456
5769,2424
5836,2368
5903,2327
5969,2299
6035,2286
6103,2281
6169,2280
6236,2283
6303,2285
6369,2287
6436,2290
6503,2295
6569,2299
6636,2302
6703,2300
6769,2295
6836,2499
6903,2481
6969,2456
7036,2445
7102,2438
7169,2431
7236,2388
7303,2226
7369,2077
7436,1987
7503,1908
7569,1832
7636,1759
7703,1666
7769,1582
7836,1541
7903,1455
7969,1379
8036,1310
8102,1241
8169,1181
8236,1126
8303,1066
8369,1018
8436,984
8502,952
8569,918
8636,887
8703,847
8769,815
8836,783
8903,752
8969,726
9036,698
9103,675
9169,660
9236,641
9303,622
9369,607
9436,594
9503,580
9569,568
9636,554
9703,541
9769,531
9837,521
9903,510
9969,500
10037,489
10102,483
10170,478
10236,471
10302,465
10369,460
10436,456
10503,451
10569,445
10636,441
10703,438
10769,435
10836,431
10902,428
10969,425
11036,423
11103,420
11169,418
11236,417
11303,416
11369,416
11436,415
11503,413
11569,412
11636,412
11703,410
11769,409
11836,408
11903,408
11969,408
12036,408
12103,407
12169,407
12236,407
12303,406
12369,406
12436,406
12503,405
12569,404
12636,403
12703,403
12769,403
12836,402
12903,402
12969,401
13036,401
13103,402
13169,401
13236,402
13303,401
